epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2933.72,1.53921,3.49122,1.32499,0.64858,0.50365,0.51738,0.28624,2.1163,5.66755,1.70352,0.0007525,0.0007525,0.0007525
77,2975.54,1.55167,3.48381,1.32455,0.7283,0.45493,0.50703,0.27885,2.14435,5.70438,1.76877,0.0007492,0.0007492,0.0007492
78,3013.32,1.5284,3.3606,1.29979,0.60975,0.48563,0.49351,0.27509,2.07008,5.8649,1.68041,0.0007459,0.0007459,0.0007459
79,3050.93,1.54464,3.42754,1.31981,0.73731,0.45995,0.51184,0.26831,2.14,5.64085,1.73361,0.0007426,0.0007426,0.0007426
80,3089.64,1.52468,3.39229,1.31569,0.60875,0.49522,0.49874,0.28263,2.1113,5.76331,1.7313,0.0007393,0.0007393,0.0007393
81,3129.31,1.51416,3.35672,1.30661,0.63336,0.49706,0.48901,0.27682,2.09717,5.86182,1.71405,0.000736,0.000736,0.000736
82,3168.7,1.48297,3.24855,1.2704,0.65708,0.44403,0.47112,0.26338,2.05669,5.95779,1.68336,0.0007327,0.0007327,0.0007327
83,3207.32,1.51073,3.37239,1.30116,0.73028,0.4702,0.51943,0.28622,2.12244,5.75196,1.74372,0.0007294,0.0007294,0.0007294
84,3246.4,1.4949,3.31642,1.29146,0.73705,0.43451,0.49578,0.27617,2.10317,5.65158,1.73131,0.0007261,0.0007261,0.0007261
85,3285.31,1.48161,3.26074,1.28024,0.73049,0.46753,0.5104,0.28073,2.08261,5.88208,1.71022,0.0007228,0.0007228,0.0007228
86,3324.22,1.43673,3.12717,1.25326,0.67465,0.48565,0.50747,0.26291,2.07348,5.6635,1.7118,0.0007195,0.0007195,0.0007195
87,3362.37,1.47249,3.20719,1.27743,0.69094,0.51499,0.53418,0.29105,2.0898,5.6641,1.68496,0.0007162,0.0007162,0.0007162
88,3402.07,1.43652,3.10697,1.27742,0.60241,0.52433,0.52503,0.29771,2.05274,5.52494,1.67092,0.0007129,0.0007129,0.0007129
89,3441.67,1.42992,3.10836,1.25492,0.70966,0.50071,0.52416,0.29534,2.06722,5.55781,1.68899,0.0007096,0.0007096,0.0007096
90,3480.04,1.43407,3.08893,1.27621,0.64781,0.52971,0.53046,0.3045,2.05215,5.65562,1.66549,0.0007063,0.0007063,0.0007063
91,3519.74,1.43115,3.15316,1.26497,0.76526,0.47855,0.52365,0.27854,2.10583,5.69677,1.67663,0.000703,0.000703,0.000703
92,3557.66,1.44963,3.14563,1.26293,0.6626,0.51194,0.52052,0.28782,2.06547,5.73558,1.67411,0.0006997,0.0006997,0.0006997
93,3595.68,1.41897,3.07658,1.24614,0.7286,0.50878,0.54779,0.29375,2.06716,5.65297,1.67232,0.0006964,0.0006964,0.0006964
94,3633.98,1.43056,3.05152,1.25544,0.61243,0.53607,0.52683,0.2956,2.0581,5.67456,1.66575,0.0006931,0.0006931,0.0006931
95,3672.23,1.45427,3.08452,1.25722,0.73045,0.51484,0.54435,0.31095,2.0426,5.4251,1.66514,0.0006898,0.0006898,0.0006898
96,3711.85,1.41075,2.95182,1.23891,0.73338,0.51049,0.54425,0.31175,2.04406,5.52511,1.67446,0.0006865,0.0006865,0.0006865
97,3751.14,1.41848,3.08282,1.24751,0.68203,0.49801,0.51921,0.29945,2.01893,5.62451,1.64327,0.0006832,0.0006832,0.0006832
98,3789.96,1.41606,3.00864,1.23052,0.65575,0.54893,0.53572,0.307,2.06771,5.59069,1.6779,0.0006799,0.0006799,0.0006799
99,3828.43,1.39066,2.97497,1.22709,0.76518,0.48914,0.535,0.30953,2.03886,5.62796,1.64809,0.0006766,0.0006766,0.0006766
100,3867.07,1.39953,3.01852,1.22878,0.70165,0.4991,0.52482,0.30476,2.09657,5.8144,1.71426,0.0006733,0.0006733,0.0006733
101,3905.48,1.34532,2.81974,1.19846,0.77407,0.50639,0.55137,0.31523,2.07263,5.52341,1.6858,0.00067,0.00067,0.00067
102,3945.61,1.42457,3.06054,1.25072,0.77739,0.49451,0.55413,0.31359,2.01675,5.56134,1.64641,0.0006667,0.0006667,0.0006667
103,3984.15,1.37513,2.88231,1.23555,0.79971,0.4972,0.54381,0.32387,2.01797,5.41506,1.66223,0.0006634,0.0006634,0.0006634
104,4023.91,1.39194,2.96379,1.22999,0.74479,0.49225,0.53439,0.3229,1.99273,5.51358,1.62636,0.0006601,0.0006601,0.0006601
105,4062.75,1.39544,2.97799,1.22881,0.72797,0.49566,0.52949,0.30733,1.96459,5.44518,1.63792,0.0006568,0.0006568,0.0006568
106,4100.99,1.37082,2.91558,1.21926,0.69349,0.56307,0.55319,0.31325,2.02908,5.47959,1.66821,0.0006535,0.0006535,0.0006535
107,4139.49,1.3308,2.81406,1.1985,0.74315,0.54088,0.56127,0.33648,1.96499,5.41356,1.61333,0.0006502,0.0006502,0.0006502
108,4179.34,1.35243,2.83607,1.21298,0.78725,0.51189,0.55116,0.31669,2.00808,5.43633,1.69479,0.0006469,0.0006469,0.0006469
109,4217.22,1.33111,2.81127,1.20219,0.6972,0.53425,0.53776,0.31349,1.9611,5.3837,1.65999,0.0006436,0.0006436,0.0006436
110,4255.99,1.35138,2.8502,1.21254,0.76794,0.50045,0.533,0.31826,2.01101,5.65225,1.67378,0.0006403,0.0006403,0.0006403
111,4294.29,1.35007,2.87081,1.2186,0.71379,0.50891,0.54173,0.31045,1.99737,5.59249,1.6231,0.000637,0.000637,0.000637
112,4333.18,1.32435,2.69247,1.17973,0.78509,0.50823,0.54988,0.3262,1.99381,5.45867,1.65457,0.0006337,0.0006337,0.0006337
113,4372.77,1.33643,2.76138,1.20685,0.73902,0.49706,0.54241,0.32258,2.01953,5.41971,1.66452,0.0006304,0.0006304,0.0006304
114,4410.6,1.32676,2.74902,1.2085,0.78599,0.53636,0.55714,0.32982,1.97905,5.26353,1.63916,0.0006271,0.0006271,0.0006271
115,4448.83,1.31637,2.72268,1.19522,0.80783,0.48749,0.55585,0.32324,1.98056,5.47381,1.63612,0.0006238,0.0006238,0.0006238
116,4487.64,1.31116,2.68628,1.17278,0.77755,0.50052,0.53919,0.32828,1.98247,5.24532,1.67679,0.0006205,0.0006205,0.0006205
117,4526.7,1.27819,2.69313,1.17209,0.7501,0.5194,0.54454,0.33396,1.9878,5.36914,1.67894,0.0006172,0.0006172,0.0006172
118,4565.27,1.27822,2.61251,1.16979,0.74335,0.53193,0.55408,0.33575,1.96866,5.38911,1.65631,0.0006139,0.0006139,0.0006139
119,4603.35,1.2793,2.6197,1.16752,0.73191,0.51223,0.55092,0.32755,2.02126,5.51139,1.65743,0.0006106,0.0006106,0.0006106
120,4640.26,1.29117,2.74569,1.18125,0.72921,0.52773,0.54309,0.32636,1.9995,5.44837,1.66235,0.0006073,0.0006073,0.0006073
121,4678.82,1.30652,2.72654,1.18691,0.76014,0.49409,0.54502,0.33041,2.02127,5.46586,1.67629,0.000604,0.000604,0.000604
122,4717.2,1.26148,2.56424,1.16174,0.71312,0.52646,0.54325,0.32689,1.93712,5.41815,1.64657,0.0006007,0.0006007,0.0006007
123,4755.45,1.26451,2.60082,1.16776,0.805,0.51703,0.54658,0.34461,1.95725,5.32635,1.6279,0.0005974,0.0005974,0.0005974
124,4794.45,1.25994,2.59447,1.15854,0.76101,0.54074,0.55754,0.34145,1.94296,5.51197,1.61617,0.0005941,0.0005941,0.0005941
125,4832.54,1.27874,2.60467,1.16439,0.72727,0.52237,0.54683,0.33465,1.96146,5.40613,1.64166,0.0005908,0.0005908,0.0005908
126,4870.39,1.29345,2.68099,1.18459,0.74085,0.51074,0.54432,0.33853,1.93821,5.35419,1.60314,0.0005875,0.0005875,0.0005875
127,4909.7,1.25633,2.62348,1.17308,0.79233,0.52931,0.55473,0.34729,1.92617,5.41461,1.59383,0.0005842,0.0005842,0.0005842
128,4950.33,1.27153,2.51545,1.15496,0.73644,0.53056,0.54494,0.33497,1.9498,5.39635,1.64494,0.0005809,0.0005809,0.0005809
129,4988.61,1.25835,2.5498,1.15928,0.78092,0.51201,0.55515,0.34881,1.95759,5.15289,1.64059,0.0005776,0.0005776,0.0005776
130,5028.13,1.23769,2.51787,1.142,0.81251,0.55414,0.58073,0.35383,1.94535,5.19402,1.64941,0.0005743,0.0005743,0.0005743
