epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1963.14,1.64646,1.45616,1.39188,0.41407,0.38059,0.33527,0.15914,2.16064,2.28565,1.85005,0.0011719,0.0011719,0.0011719
92,1983.62,1.60965,1.42715,1.36393,0.43833,0.34416,0.34572,0.18726,2.1268,2.3358,1.80834,0.0011664,0.0011664,0.0011664
93,2005.76,1.52811,1.37361,1.3382,0.54926,0.33705,0.3795,0.19648,2.07817,2.17175,1.7654,0.0011609,0.0011609,0.0011609
94,2027.95,1.55772,1.38224,1.36105,0.46557,0.3758,0.36306,0.19925,2.09169,2.11004,1.76518,0.0011554,0.0011554,0.0011554
95,2050.01,1.58764,1.41882,1.37014,0.46285,0.36147,0.35717,0.18748,2.05406,2.18762,1.76641,0.0011499,0.0011499,0.0011499
96,2070.59,1.56648,1.37652,1.3504,0.42367,0.41238,0.37153,0.19935,2.01148,2.42025,1.72785,0.0011444,0.0011444,0.0011444
97,2092.67,1.50698,1.36213,1.33448,0.50384,0.41198,0.37648,0.20592,2.02022,2.06799,1.75352,0.00113889,0.00113889,0.00113889
98,2114.77,1.50988,1.34785,1.33724,0.44024,0.41152,0.36029,0.19099,2.05157,2.12853,1.79077,0.00113339,0.00113339,0.00113339
99,2135.2,1.55087,1.34079,1.34848,0.38667,0.43736,0.35484,0.18598,2.00824,2.11694,1.75943,0.00112789,0.00112789,0.00112789
100,2155.85,1.48801,1.31387,1.31416,0.54259,0.36183,0.38337,0.20432,2.0139,2.20054,1.75567,0.00112239,0.00112239,0.00112239
101,2176.34,1.50467,1.30442,1.31476,0.50499,0.42019,0.40701,0.21368,2.03439,2.02644,1.76656,0.00111689,0.00111689,0.00111689
102,2198.5,1.49703,1.28265,1.30359,0.5336,0.42915,0.42382,0.23406,1.94891,1.99264,1.70365,0.00111139,0.00111139,0.00111139
103,2220.5,1.49825,1.2654,1.33124,0.51569,0.41234,0.42858,0.22159,2.03307,2.08059,1.73835,0.00110589,0.00110589,0.00110589
104,2240.97,1.4854,1.28006,1.30568,0.63462,0.40639,0.4565,0.25135,1.97221,2.05386,1.68981,0.00110039,0.00110039,0.00110039
105,2263.1,1.46976,1.2735,1.29596,0.56562,0.39232,0.42849,0.2321,2.02016,2.06742,1.75181,0.00109489,0.00109489,0.00109489
106,2283.56,1.46825,1.24577,1.29152,0.54815,0.42938,0.44001,0.2386,2.04463,2.06923,1.75595,0.00108938,0.00108938,0.00108938
107,2304.01,1.42497,1.22127,1.26836,0.59542,0.41937,0.44439,0.24596,1.97739,2.07196,1.71481,0.00108388,0.00108388,0.00108388
108,2324.52,1.40812,1.19562,1.28052,0.5949,0.39556,0.41781,0.21663,2.0797,2.17309,1.74715,0.00107838,0.00107838,0.00107838
109,2344.95,1.44075,1.2305,1.27126,0.72578,0.37416,0.45609,0.25541,1.97788,2.06293,1.72725,0.00107288,0.00107288,0.00107288
110,2367.08,1.43796,1.19496,1.27644,0.60356,0.40891,0.44683,0.24211,1.99486,2.02516,1.72712,0.00106738,0.00106738,0.00106738
111,2387.42,1.42405,1.21697,1.27231,0.58055,0.43235,0.44918,0.26222,1.88455,2.05678,1.65998,0.00106188,0.00106188,0.00106188
112,2409.83,1.42622,1.19405,1.27045,0.6658,0.39791,0.46301,0.25331,1.95649,2.11532,1.69256,0.00105638,0.00105638,0.00105638
113,2430.43,1.39901,1.1429,1.24025,0.69203,0.4046,0.47288,0.27112,1.94819,2.04175,1.68406,0.00105088,0.00105088,0.00105088
114,2452.48,1.37374,1.15255,1.24685,0.66079,0.46663,0.47146,0.27209,1.86149,2.00332,1.67648,0.00104538,0.00104538,0.00104538
115,2474.68,1.36374,1.11553,1.23645,0.56053,0.43137,0.45485,0.26042,1.9684,2.01698,1.71838,0.00103987,0.00103987,0.00103987
116,2495.11,1.38795,1.13793,1.25041,0.57235,0.42623,0.44586,0.25734,1.99149,2.05322,1.7279,0.00103437,0.00103437,0.00103437
117,2515.75,1.42028,1.137,1.24136,0.69272,0.40571,0.45,0.2773,1.91979,2.06869,1.68465,0.00102887,0.00102887,0.00102887
118,2537.77,1.39279,1.12924,1.24422,0.65839,0.43342,0.47255,0.28535,1.92386,1.9729,1.65674,0.00102337,0.00102337,0.00102337
119,2559.86,1.33189,1.07166,1.20451,0.61213,0.42397,0.43704,0.26199,1.92454,1.92199,1.66792,0.00101787,0.00101787,0.00101787
120,2580.26,1.36551,1.13099,1.23664,0.65306,0.4358,0.45477,0.2731,1.9074,1.94497,1.69947,0.00101237,0.00101237,0.00101237
121,2600.82,1.332,1.07419,1.21519,0.54511,0.46266,0.46349,0.27796,1.9575,2.02564,1.72135,0.00100687,0.00100687,0.00100687
