epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2246.03,2.26254,2.77427,1.95089,0.19488,0.14881,0.08342,0.02817,2.57926,2.88694,2.09052,0.00134244,0.00134244,0.00134244
61,2282.31,2.13487,2.68936,1.88657,0.23096,0.21081,0.11226,0.03229,2.66936,2.86418,2.16497,0.00133693,0.00133693,0.00133693
62,2321.68,2.1735,2.73443,1.89953,0.21654,0.13402,0.08984,0.02886,2.66115,2.88443,2.12397,0.00133143,0.00133143,0.00133143
63,2358.31,2.1854,2.66888,1.88888,0.19007,0.13997,0.10649,0.03499,2.61334,2.91311,2.11166,0.00132593,0.00132593,0.00132593
64,2397.89,2.17955,2.69564,1.91732,0.2035,0.15584,0.11815,0.04237,2.66203,2.77419,2.14345,0.00132043,0.00132043,0.00132043
65,2437.35,2.19977,2.72548,1.90882,0.23461,0.15675,0.09943,0.02828,2.64455,2.92255,2.075,0.00131493,0.00131493,0.00131493
66,2473.96,2.16855,2.75152,1.90454,0.17048,0.13979,0.07217,0.02281,2.62859,2.94206,2.07681,0.00130943,0.00130943,0.00130943
67,2510.26,2.17373,2.70447,1.90364,0.15744,0.13294,0.08244,0.02423,2.67245,3.02093,2.13429,0.00130393,0.00130393,0.00130393
68,2547.1,2.08724,2.62604,1.8574,0.18773,0.2296,0.10792,0.03573,2.56494,2.84214,2.08656,0.00129843,0.00129843,0.00129843
69,2583.38,2.10641,2.6552,1.87391,0.24981,0.1317,0.11103,0.03111,2.6651,2.92626,2.15238,0.00129293,0.00129293,0.00129293
70,2619.72,2.12599,2.62018,1.86428,0.25114,0.1737,0.12228,0.03958,2.60686,2.80599,2.1154,0.00128742,0.00128742,0.00128742
71,2656.49,2.12432,2.66678,1.86385,0.22528,0.16865,0.12273,0.03874,2.52128,2.90888,2.08239,0.00128192,0.00128192,0.00128192
72,2693.06,2.12407,2.62288,1.87597,0.19156,0.18687,0.10995,0.03411,2.63236,2.8698,2.12404,0.00127642,0.00127642,0.00127642
73,2729.36,2.14641,2.6247,1.88751,0.17563,0.21719,0.11131,0.03602,2.60882,2.8421,2.10609,0.00127092,0.00127092,0.00127092
74,2765.87,2.11679,2.55731,1.8338,0.17735,0.17316,0.10377,0.03196,2.54553,2.75485,2.07652,0.00126542,0.00126542,0.00126542
75,2802.24,2.13,2.64442,1.91315,0.16491,0.17136,0.09086,0.03323,2.5992,2.96037,2.12358,0.00125992,0.00125992,0.00125992
76,2838.84,2.10583,2.59299,1.86663,0.18873,0.17767,0.08728,0.02421,2.53953,2.92703,2.07808,0.00125442,0.00125442,0.00125442
77,2875.17,2.1289,2.64758,1.87954,0.14419,0.20418,0.09434,0.02933,2.54737,3.00164,2.08697,0.00124892,0.00124892,0.00124892
78,2911.78,2.1015,2.55737,1.85313,0.20639,0.17735,0.12011,0.03801,2.62891,2.7567,2.12113,0.00124342,0.00124342,0.00124342
79,2948.17,2.08192,2.54072,1.84718,0.18337,0.20942,0.1071,0.03163,2.54069,2.86886,2.07561,0.00123791,0.00123791,0.00123791
80,2984.87,2.0983,2.59286,1.84833,0.20669,0.18794,0.12954,0.04235,2.61153,2.87193,2.07743,0.00123241,0.00123241,0.00123241
81,3021.41,2.07954,2.52896,1.82858,0.17148,0.1627,0.08272,0.02341,2.60568,2.93887,2.11453,0.00122691,0.00122691,0.00122691
82,3062.66,2.05995,2.45641,1.78906,0.24381,0.19949,0.14237,0.04514,2.47905,2.69966,2.00132,0.00122141,0.00122141,0.00122141
83,3107.92,2.10463,2.48231,1.81676,0.21614,0.20166,0.12926,0.04541,2.53924,2.75776,2.04285,0.00121591,0.00121591,0.00121591
84,3153.11,2.09277,2.45983,1.81269,0.23899,0.19391,0.11738,0.03449,2.65751,2.74018,2.14265,0.00121041,0.00121041,0.00121041
85,3194.57,2.08069,2.53321,1.84714,0.20757,0.2022,0.11648,0.03438,2.57024,2.82138,2.0654,0.00120491,0.00120491,0.00120491
86,3234.04,2.05626,2.49894,1.82858,0.20458,0.19769,0.12124,0.04147,2.55158,2.86433,2.04907,0.00119941,0.00119941,0.00119941
87,3272.93,2.09602,2.57267,1.82049,0.2282,0.19264,0.13893,0.04212,2.6199,2.79252,2.12395,0.00119391,0.00119391,0.00119391
88,3312.36,2.05887,2.51077,1.8386,0.2691,0.26243,0.15343,0.04818,2.56999,2.76512,2.04986,0.0011884,0.0011884,0.0011884
89,3355.25,2.0484,2.46968,1.80107,0.26,0.21519,0.15065,0.04737,2.48666,2.69145,2.01823,0.0011829,0.0011829,0.0011829
90,3393.92,2.01671,2.42643,1.80575,0.25859,0.20166,0.13935,0.04814,2.60291,2.78379,2.08288,0.0011774,0.0011774,0.0011774
91,3432.49,2.0423,2.45384,1.80365,0.31805,0.2206,0.15646,0.05658,2.51093,2.87457,2.02308,0.0011719,0.0011719,0.0011719
92,3473.95,2.03974,2.45162,1.83019,0.26839,0.21104,0.16979,0.05815,2.48202,2.71007,1.99828,0.0011664,0.0011664,0.0011664
93,3516.34,2.0249,2.38862,1.77348,0.25677,0.20166,0.1297,0.04258,2.52435,2.75651,2.05098,0.0011609,0.0011609,0.0011609
94,3555.52,1.99492,2.38217,1.78944,0.22809,0.21501,0.15931,0.05176,2.45509,2.64105,1.98698,0.0011554,0.0011554,0.0011554
95,3594.34,2.0113,2.33093,1.7653,0.25435,0.18398,0.12552,0.03994,2.58392,2.6662,2.04965,0.0011499,0.0011499,0.0011499
96,3632.01,2.05812,2.42795,1.84389,0.28411,0.20203,0.13915,0.04353,2.54361,2.79409,2.05493,0.0011444,0.0011444,0.0011444
97,3670.36,2.03489,2.40203,1.80176,0.2158,0.21093,0.121,0.04366,2.48697,3.02594,2.0237,0.00113889,0.00113889,0.00113889
